timestamp,value
2025/9/1,766
2025/9/2,771.5
2025/9/3,777
2025/9/4,791.5
2025/9/5,789.5
2025/9/8,792
2025/9/9,805
2025/9/10,805
2025/9/11,795.5
2025/9/12,799.5
2025/9/15,796
2025/9/16,803.5
